text,wakati_text
ゼロで就活セクハラの特集してるよ主任‼️,ゼロ 就活 セクハラ 特集 する てるよ 主任
"就活セクハラの話題が流れて来たけど

昔の上司で、面接の時に「彼氏の有無」を聴き回ってる奴が居たわ。
見事に全員から気持ち悪がられてたけど。",就活 セクハラ 話題 流れる 来る 昔 上司 面接 時 彼氏 有無 聴く 回る る 奴 居る 見事だ 全員 気持ち 悪い がる れる る
RT @fujinoyuko: 就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/lZcD5gryB2,
"RT @newrightmasayan: おい大将、黙って聞いてりゃ核の傘を出ろとか難民を入れろとか。日本の破壊工作に来たのかい⁈ニコニコ喋れば済むってモノじゃないよ
日本の防衛や治安に責任とれるのか？荒れ放題になっても神の意思じゃたまらん。こちらはいいから、カトリック聖職者の…",おい 大将 黙る 聞く る 核 傘 出る 難民 入れる 日本 破壊 工作 来る かい ニコ ニコ 喋る 済む モノ ない 日本 防衛 治安 責任 とれる 荒れ 放題 なる 神 意思 たまる いい カトリック 聖職 者
就活セクハラなくして/学生ら会見　政府は実効ある対策を https://t.co/2dMgOejZKp（しんぶん赤旗）,就活 セクハラ ない する 学生 ら 会見 政府 実効 ある 対策 しんぶん 赤旗
"就活セクハラねー。
思い当たると言うか、世の中色々ある。",就活 セクハラ 思い当たる 言う 世の中 ある
"就活セクハラとか圧迫面接とかなんの得にもならねーよな
会社にとっても学生にとっても",就活 セクハラ 圧迫 面接 得だ なる ない 会社 とる 学生 とる
"就活セクハラではないけど
大学合格した当時「あともうちょっと美人だったら(鼻が高かったら／痩せてたら)アナウンサーになれたのにね」

って言われたことはあるな、親戚10人くらいの集まりで",就活 セクハラ ない 大学 合格 する 当時 あと 美人 鼻 高い 痩せる たら アナウンサー なれる 言う れる こと ある 親戚 10 人 集まり
就活セクハラの話は、際どい質問(交際や結婚出産についてなど)と、就活を悪用した性的強要と、論点がごっちゃになってる。後者は当然なくすべき(て言うか「就活レ○プ」だろ)だけど、前者は議論の余地がある。#就活セクハラ,就活 セクハラ 話 際どい 質問 交際 結婚 出産 つく 就活 悪用 する 性 的だ 強要 論点 ごっちゃ なる る 後者 なくす べき て 言う 就活 前者 議論 余地 ある 就活 セクハラ
12/03 08:13 フジ とくダネ！ 「一緒にホテル行くなら採用」“就活セクハラ”訴え・学生たちが会見 就職活動中にセクハラを受ける #就活セクハラ の被害に遭った学生たちが対策を求めて緊急声明を発表.. https://t.co/YeqmCxrSLl 37,12 0308 13 フジ とく ダネ 一緒だ ホテル 行く 採用 就活 セクハラ 訴え 学生 たち 会見 就職 活動 中 セクハラ 受ける 就活 セクハラ 被害 遭う 学生 たち 対策 求める 緊急だ 声明 発表 37
"@HuffPostJapan 就活セクハラを証拠と共に企業に提出
提出した大学からの就職枠確保
セクハラした人は役職ついていようがヒラだろうが解雇
その分採用枠が広がる
上手くいかないだろうけど",就活 セクハラ 証拠 企業 提出 提出 する 大学 就職 枠 確保 セクハラ する 人 役職 つく いる ヒラ 解雇 その分 採用 枠 広がる 上手い いく ない
就活セクハラの話おかしいよなあ、結婚したら辞めるから取りたくないっておま、結婚後も働ける環境整るか、結婚しても辞めない人材だけで回せるように1家を1人で養える給料払うとか企業努力不足のせいであって、一個人のなんの罪もない就活生の若者に要求することじゃなくない？？？？,就活 セクハラ 話 おかしい 結婚 する 辞める 取る たい ない 結婚 後 働ける 環境 整 るか 結婚 する 辞める ない 人材 回せる 1 家 1 人 養える 給料 払う 企業 努力 不足だ せい 一 個人 罪 ない 就活 生 若者 要求 する こと ない ない
